id,member_id,loan_amnt,term,int_rate,grade,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,title,dti,delinq_2yrs,inq_last_6mths,out_prncp,cusip,per_paid,int_rate2,loan_quality,response,topk,loan_amnt_score,term_score,int_rate2_score,grade_score,emp_length_score,home_ownership_score,annual_inc_score,verification_status_score,purpose_score,dti_score,delinq_2yrs_score,inq_last_6mths_score,per_paid_score,score_sum,pred_score,pred_lq
23233280,25586149,11000, 60 months,12.99%,C,4 years,RENT,44000,VERIFIED - income source,Current,debt_consolidation,Debt consolidation,15.6,0,2,9179.73,52602LCB4,0.834520909,12.99,0,0.018740523,per_paid_score;emp_length_score;home_ownership_score;grade_score;inq_last_6mths_score,0,0,1,3,4,3,0,0,0,3,0,1,5,0.853105838,543,0.018740523
41196282,44103008,19750, 60 months,18.25%,E,4 years,RENT,45000,VERIFIED - income source,Current,home_improvement,Home improvement,16.77,0,0,18256.23,52602LCB4,0.924366076,18.25,0,0.026831849,int_rate2_score;emp_length_score;home_ownership_score;purpose_score;grade_score,0,0,19,0,4,3,0,0,1,3,0,0,-3,1.439616102,550,0.026831849
34633066,37316361,27000, 36 months,6.99%,A,4 years,MORTGAGE,156000,VERIFIED - income,Current,debt_consolidation,Debt consolidation,29.77,0,3,20057.1,52602LCB4,0.742855556,6.99,0,0.005729267,per_paid_score;emp_length_score;dti_score;inq_last_6mths_score;annual_inc_score,-1,0,-20,-6,4,-2,1,0,0,3,0,2,14,1.226339643,521,0.005729267
12816917,14839022,35000, 60 months,17.57%,D,2 years,MORTGAGE,110000,VERIFIED - income,Current,debt_consolidation,Debt consolidation,17.66,0,2,27951.81,52602LCB4,0.798623143,17.57,0,0.026466944,int_rate2_score;per_paid_score;grade_score;inq_last_6mths_score;annual_inc_score,-2,0,17,1,-1,-2,0,0,0,3,0,1,8,1.439616102,549,0.026466944
24545127,26968036,3000, 36 months,20.99%,E,10+ years,OWN,36000,not verified,Current,credit_card,Credit card refinancing,36,0,0,2124.92,52602LCB4,0.708306667,20.99,0,0.090009058,int_rate2_score;per_paid_score;dti_score;loan_amnt_score;grade_score,1,0,29,0,-2,-1,0,0,-1,3,0,0,17,2.71927486,574,0.090009058
12926037,14958231,5350, 36 months,12.49%,B,8 years,RENT,15000,VERIFIED - income source,Current,credit_card,Credit card refinancing,16.62,0,0,2923.39,52602LCB4,0.546428037,12.49,0,0.043792752,per_paid_score;home_ownership_score;loan_amnt_score;grade_score;term_score,1,0,-1,1,-1,3,-1,0,-1,3,0,0,32,1.972807251,559,0.043792752
33341162,35984495,25000, 36 months,8.19%,A,9 years,RENT,105000,VERIFIED - income,Current,debt_consolidation,Debt consolidation,30.81,0,0,18657.79,52602LCB4,0.7463116,8.19,0,0.007379924,per_paid_score;home_ownership_score;dti_score;emp_length_score;verification_status_score,-1,0,-16,-6,2,3,0,0,0,3,0,0,13,1.119701413,525,0.007379924
1215556,1456797,8100, 36 months,6.62%,A,10+ years,MORTGAGE,61920,VERIFIED - income source,Charged Off,medical,Medical Expenses not covered by insuranc,11.03,0,1,0,52602LCB4,0,6.62,1,0.138413287,per_paid_score;purpose_score;loan_amnt_score;inq_last_6mths_score;term_score,1,0,-22,-6,-2,-2,0,0,5,3,0,0,84,4.798720341,583,0.138413287
48605422,51854196,23025, 36 months,16.55%,D,10+ years,MORTGAGE,115000,VERIFIED - income,Current,debt_consolidation,Debt consolidation,16.42,0,3,20990.57,52602LCB4,0.911642562,16.55,0,0.013175832,int_rate2_score;inq_last_6mths_score;grade_score;annual_inc_score;verification_status_score,-1,0,13,1,-2,-2,0,0,0,3,0,2,-2,0.853105838,535,0.013175832
24706085,27148930,16425, 36 months,12.99%,C,10+ years,MORTGAGE,48619.16,VERIFIED - income source,Current,debt_consolidation,Debt consolidation,24.07,0,0,11212.83,52602LCB4,0.682668493,12.99,0,0.021649422,per_paid_score;grade_score;dti_score;int_rate2_score;term_score,0,0,1,3,-2,-2,0,0,0,3,0,0,19,1.279658758,547,0.021649422
5625290,7007507,17000, 60 months,15.80%,C,10+ years,RENT,71000,VERIFIED - income,Current,credit_card,Pay Down,8.86,0,0,10959,52602LCB4,0.644647059,15.8,0,0.048516775,per_paid_score;int_rate2_score;home_ownership_score;grade_score;verification_status_score,0,0,11,3,-2,3,0,0,-1,3,0,0,23,2.132764596,562,0.048516775
12335681,14327840,12800, 36 months,11.99%,B,3 years,MORTGAGE,120000,not verified,Current,debt_consolidation,Debt consolidation,3.34,1,0,6615.55,52602LCB4,0.516839844,11.99,0,0.029565588,per_paid_score;grade_score;annual_inc_score;loan_amnt_score;delinq_2yrs_score,0,0,-3,1,-2,-2,0,0,0,3,0,0,35,1.919488136,552,0.029565588
6531666,8083674,8000, 36 months,10.64%,B,8 years,OWN,40000,not verified,Current,credit_card,credit card debt,24.33,0,0,2722.13,52602LCB4,0.34026625,10.64,0,0.074120496,per_paid_score;dti_score;loan_amnt_score;grade_score;term_score,1,0,-8,1,-1,-1,0,0,-1,3,0,0,52,2.93255132,571,0.074120496
27732125,30235279,35000, 36 months,14.49%,C,1 year,RENT,140000,VERIFIED - income,Current,debt_consolidation,Debt consolidation,23.63,0,0,24967.71,52602LCB4,0.713363143,14.49,0,0.043138041,per_paid_score;int_rate2_score;emp_length_score;home_ownership_score;grade_score,-2,0,6,3,4,3,1,0,0,3,0,0,17,1.759530792,560,0.043138041
1333190,1578279,14600, 60 months,15.31%,C,2 years,RENT,31000,VERIFIED - income,Current,major_purchase,Personal Loan,22.86,0,1,6414.36,52602LCB4,0.439339726,15.31,0,0.19017818,per_paid_score;int_rate2_score;purpose_score;home_ownership_score;grade_score,0,0,9,3,-1,3,0,0,6,3,0,0,42,3.359104239,590,0.19017818
31607458,34210640,19000, 60 months,14.49%,C,10+ years,MORTGAGE,74000,not verified,Current,debt_consolidation,Debt consolidation,7.72,0,0,16457.52,52602LCB4,0.866185263,14.49,0,0.009499227,int_rate2_score;grade_score;per_paid_score;term_score;annual_inc_score,0,0,6,3,-2,-2,0,0,0,3,0,0,2,0.586510264,531,0.009499227
8627040,10399022,15000, 36 months,10.99%,B,4 years,MORTGAGE,45000,VERIFIED - income,Current,debt_consolidation,Bill Consolidation,24.32,0,2,6424.16,52602LCB4,0.428277333,10.99,0,0.070754393,per_paid_score;emp_length_score;dti_score;inq_last_6mths_score;grade_score,0,0,-6,1,4,-2,0,0,0,3,0,1,44,2.71927486,570,0.070754393
351023,353435,7500, 36 months,9.45%,B,< 1 year,RENT,45000,not verified,Charged Off,educational,I want to comeback to School (UCLA),1.57,0,2,0,52602LCB4,0,9.45,1,0.000533921,per_paid_score;emp_length_score;home_ownership_score;inq_last_6mths_score;loan_amnt_score,1,0,-12,1,3,3,0,0,-128,3,0,1,84,4.905358571,476,0.000533921
9445097,11277229,12000, 60 months,16.24%,C,10+ years,MORTGAGE,70000,VERIFIED - income source,Current,debt_consolidation,Debt consolidation,18.17,3,1,8844.17,52602LCB4,0.737014167,16.24,0,0.03142105,per_paid_score;int_rate2_score;grade_score;delinq_2yrs_score;inq_last_6mths_score,0,0,12,3,-2,-2,0,0,0,3,1,0,14,1.599573447,553,0.03142105
28773206,31286368,10800, 36 months,11.67%,B,3 years,RENT,45000,VERIFIED - income source,Current,credit_card,Credit card refinancing,21.68,0,0,7889.32,52602LCB4,0.730492593,11.67,0,0.015017618,per_paid_score;home_ownership_score;grade_score;dti_score;loan_amnt_score,0,0,-4,1,-2,3,0,0,-1,3,0,0,15,1.066382298,540,0.015017618
13567443,15619791,13200, 36 months,15.31%,C,3 years,MORTGAGE,48000,VERIFIED - income,Late (31-120 days),debt_consolidation,Debt consolidation,27.34,0,1,8767.54,52602LCB4,0.664207576,15.31,1,0.039691321,per_paid_score;int_rate2_score;grade_score;dti_score;inq_last_6mths_score,0,0,9,3,-2,-2,0,0,0,3,0,0,21,1.866169022,558,0.039691321
22291917,24614818,20000, 60 months,18.99%,E,10+ years,MORTGAGE,120000,VERIFIED - income,Current,debt_consolidation,Debt consolidation,15.51,2,1,17106.6,52602LCB4,0.85533,18.99,0,0.024729603,int_rate2_score;per_paid_score;annual_inc_score;inq_last_6mths_score;delinq_2yrs_score,0,0,22,0,-2,-2,0,0,0,3,0,0,3,1.332977873,547,0.024729603
31397093,33970314,12000, 36 months,7.12%,A,10+ years,MORTGAGE,75920,VERIFIED - income,Current,credit_card,Credit card refinancing,30.11,0,0,8600.45,52602LCB4,0.716704167,7.12,0,0.004361558,per_paid_score;dti_score;loan_amnt_score;verification_status_score;annual_inc_score,0,0,-20,-6,-2,-2,0,0,-1,3,0,0,16,1.013063183,515,0.004361558
2906765,3539189,20000, 36 months,11.14%,B,3 years,MORTGAGE,192000,VERIFIED - income,Current,credit_card,Credit card refinancing,18.74,0,0,2564.58,52602LCB4,0.128229,11.14,0,0.179860786,per_paid_score;annual_inc_score;grade_score;verification_status_score;term_score,0,0,-6,1,-2,-2,1,0,-1,3,0,0,72,3.945614503,590,0.179860786
34432898,37096222,30000, 36 months,7.49%,A,n/a,RENT,120000,VERIFIED - income source,Current,debt_consolidation,Debt consolidation,20.73,0,0,21907.36,52602LCB4,0.730245333,7.49,0,0.005816978,per_paid_score;home_ownership_score;emp_length_score;annual_inc_score;dti_score,-1,0,-19,-6,2,3,0,0,0,3,0,0,15,1.066382298,521,0.005816978
38468209,41262087,21000, 60 months,14.31%,C,4 years,MORTGAGE,103000,VERIFIED - income source,Current,debt_consolidation,Debt consolidation,24.24,1,1,18984.62,52602LCB4,0.904029524,14.31,0,0.013405976,int_rate2_score;emp_length_score;grade_score;dti_score;inq_last_6mths_score,-1,0,5,3,4,-2,0,0,0,3,0,0,-2,0.693148494,535,0.013405976
32318785,34931997,23200, 60 months,23.43%,F,7 years,RENT,80000,VERIFIED - income,Current,house,Home buying,12.27,0,5,20689.71,52602LCB4,0.891797845,23.43,0,0.038885172,int_rate2_score;inq_last_6mths_score;home_ownership_score;verification_status_score;term_score,-1,0,38,-5,-2,3,0,0,-5,3,0,4,0,2.399360171,557,0.038885172
39290482,42094242,25000, 60 months,15.59%,D,5 years,MORTGAGE,60000,VERIFIED - income source,Current,credit_card,Credit card refinancing,21.08,0,0,22978.47,52602LCB4,0.9191388,15.59,0,0.010249206,int_rate2_score;grade_score;emp_length_score;dti_score;term_score,-1,0,10,1,1,-2,0,0,-1,3,0,0,-3,0.639829379,532,0.010249206
10145079,11997183,10000, 36 months,14.47%,C,1 year,RENT,50000,not verified,Current,credit_card,Debt Consolidation,4.68,0,0,4695.22,52602LCB4,0.469522,14.47,0,0.112779985,per_paid_score;int_rate2_score;emp_length_score;home_ownership_score;grade_score,1,0,6,3,4,3,0,0,-1,3,0,0,40,2.985870435,580,0.112779985
1262849,1506413,13200, 60 months,13.67%,B,5 years,RENT,43000,VERIFIED - income,Current,debt_consolidation,bills,22.58,0,1,5433.16,52602LCB4,0.41160303,13.67,0,0.125657744,per_paid_score;int_rate2_score;home_ownership_score;dti_score;grade_score,0,0,3,1,1,3,0,0,0,3,0,0,45,2.82591309,581,0.125657744
29715285,32248527,3500, 36 months,10.99%,B,2 years,RENT,30000,not verified,Current,debt_consolidation,Debt consolidation,23.8,0,0,2550.09,52602LCB4,0.728597143,10.99,0,0.015688662,per_paid_score;home_ownership_score;loan_amnt_score;dti_score;grade_score,1,0,-6,1,-1,3,0,0,0,3,0,0,15,1.119701413,541,0.015688662
47979220,51218939,11200, 60 months,18.25%,E,2 years,RENT,39000,VERIFIED - income source,Current,debt_consolidation,Debt consolidation,32.92,1,0,10726.92,52602LCB4,0.957760714,18.25,0,0.020588408,int_rate2_score;dti_score;home_ownership_score;loan_amnt_score;grade_score,0,0,19,0,-1,3,0,0,0,3,0,0,-7,1.332977873,544,0.020588408
13456842,15509142,5000, 36 months,10.99%,B,9 years,MORTGAGE,74000,VERIFIED - income,Current,debt_consolidation,Debt consolidation,11.24,0,2,2842.3,52602LCB4,0.56846,10.99,0,0.029828177,per_paid_score;emp_length_score;inq_last_6mths_score;loan_amnt_score;grade_score,1,0,-6,1,2,-2,0,0,0,3,0,1,30,1.866169022,552,0.029828177
29213602,31746767,2400, 36 months,12.49%,B,< 1 year,RENT,33000,VERIFIED - income source,Charged Off,credit_card,Credit card refinancing,23.53,1,0,0,52602LCB4,0,12.49,1,0.505951071,per_paid_score;emp_length_score;home_ownership_score;loan_amnt_score;dti_score,1,0,-1,1,3,3,0,0,-1,3,0,0,84,4.905358571,618,0.505951071
21550980,23893849,18000, 60 months,10.15%,B,10+ years,MORTGAGE,61000,not verified,Current,credit_card,Credit card refinancing,11.84,0,1,14574.2,52602LCB4,0.809677778,10.15,0,0.005378112,per_paid_score;grade_score;inq_last_6mths_score;term_score;verification_status_score,0,0,-9,1,-2,-2,0,0,-1,3,0,0,7,0.426552919,519,0.005378112
40482077,43346854,23000, 60 months,25.83%,G,2 years,OWN,50000,VERIFIED - income source,Current,debt_consolidation,Debt consolidation,23.58,0,1,21571.67,52602LCB4,0.937898696,25.83,0,0.037358673,int_rate2_score;dti_score;inq_last_6mths_score;term_score;purpose_score,-1,0,46,-10,-1,-1,0,0,0,3,0,0,-5,2.5059984,556,0.037358673
46726624,49874487,24000, 60 months,9.17%,B,10+ years,RENT,48000,VERIFIED - income source,Current,debt_consolidation,Debt consolidation,21.6,0,0,22718.24,52602LCB4,0.946593333,9.17,0,0.00316461,home_ownership_score;grade_score;dti_score;term_score;purpose_score,-1,0,-13,1,-2,3,0,0,0,3,0,0,-6,0.266595575,510,0.00316461
38519485,41313419,7775, 36 months,12.39%,C,10+ years,OWN,60000,VERIFIED - income,Current,debt_consolidation,Debt consolidation,6.14,0,1,6286.66,52602LCB4,0.808573633,12.39,0,0.009887539,per_paid_score;grade_score;loan_amnt_score;inq_last_6mths_score;verification_status_score,1,0,-1,3,-2,-1,0,0,0,3,0,0,8,0.639829379,532,0.009887539
551983,711309,4000, 60 months,15.95%,D,4 years,MORTGAGE,40296,VERIFIED - income,Charged Off,other,Loan,6.4,0,1,0,52602LCB4,0,15.95,1,0.56430052,per_paid_score;int_rate2_score;emp_length_score;grade_score;loan_amnt_score,1,0,11,1,4,-2,0,0,-2,3,0,0,84,5.385230605,621,0.56430052
2835578,3417878,15000, 36 months,10.16%,B,4 years,MORTGAGE,85000,VERIFIED - income,Current,debt_consolidation,Debt consolidation,19.38,0,0,1916.04,52602LCB4,0.127736,10.16,0,0.206539961,per_paid_score;emp_length_score;grade_score;verification_status_score;annual_inc_score,0,0,-9,1,4,-2,0,0,0,3,0,0,72,4.105571848,593,0.206539961
5594897,6977099,5375, 36 months,8.90%,A,10+ years,MORTGAGE,1.00E+05,VERIFIED - income,Current,debt_consolidation,college,11.36,0,0,1480.42,52602LCB4,0.275426977,8.9,0,0.046154876,per_paid_score;loan_amnt_score;verification_status_score;annual_inc_score;term_score,1,0,-14,-6,-2,-2,0,0,0,3,0,0,58,3.145827779,560,0.046154876
8806177,3257006,6000, 60 months,23.40%,E,10+ years,MORTGAGE,75000,VERIFIED - income source,Charged Off,debt_consolidation,Debt consolidation,12.46,0,4,0,52602LCB4,0,23.4,1,0.828686409,per_paid_score;int_rate2_score;inq_last_6mths_score;loan_amnt_score;grade_score,1,0,38,0,-2,-2,0,0,0,3,0,3,84,6.718208478,647,0.828686409
43075650,46072371,5300, 36 months,14.65%,C,n/a,RENT,27584.76,VERIFIED - income,Current,credit_card,Credit card refinancing,39.08,0,1,4569.32,52602LCB4,0.862135849,14.65,0,0.025513833,int_rate2_score;dti_score;home_ownership_score;grade_score;per_paid_score,1,0,7,3,2,3,0,0,-1,3,0,0,2,1.066382298,549,0.025513833
36079449,38791079,15500, 60 months,21.99%,E,10+ years,MORTGAGE,62912.38,not verified,Current,debt_consolidation,Debt consolidation,39.41,0,1,14105.09,52602LCB4,0.910005806,21.99,0,0.041760458,int_rate2_score;dti_score;inq_last_6mths_score;grade_score;term_score,0,0,33,0,-2,-2,0,0,0,3,0,0,-2,2.026126366,559,0.041760458
28232298,30745431,8000, 36 months,12.49%,B,1 year,RENT,125000,not verified,Current,debt_consolidation,Debt consolidation,6.79,0,0,5863.45,52602LCB4,0.73293125,12.49,0,0.022384758,per_paid_score;emp_length_score;home_ownership_score;loan_amnt_score;grade_score,1,0,-1,1,4,3,0,0,0,3,0,0,15,1.279658758,547,0.022384758
28943265,31476434,20400, 60 months,14.49%,C,10+ years,RENT,101228,VERIFIED - income source,Late (31-120 days),other,Other,7.65,0,0,18193.61,52602LCB4,0.891843627,14.49,1,0.010228215,int_rate2_score;home_ownership_score;grade_score;annual_inc_score;term_score,-1,0,6,3,-2,3,0,0,-2,3,0,0,0,0.639829379,531,0.010228215
48212170,51451884,6600, 36 months,8.18%,B,< 1 year,RENT,25275,VERIFIED - income source,Current,credit_card,Credit card refinancing,32.62,0,0,5943.82,52602LCB4,0.900578788,8.18,0,0.005172369,dti_score;emp_length_score;home_ownership_score;loan_amnt_score;grade_score,1,0,-16,1,3,3,0,0,-1,3,0,0,-1,0.586510264,520,0.005172369
1603920,1875723,19750, 36 months,7.90%,A,n/a,MORTGAGE,44000,VERIFIED - income,Charged Off,credit_card,CC Payoff,19.61,0,0,0,52602LCB4,0,7.9,1,0.159409246,per_paid_score;emp_length_score;verification_status_score;dti_score;term_score,0,0,-17,-6,2,-2,0,0,-1,3,0,0,84,4.585443882,587,0.159409246
40443132,43307937,18000, 36 months,14.99%,C,< 1 year,OWN,55000,VERIFIED - income,Current,small_business,Business,21.52,0,1,15099.84,52602LCB4,0.83888,14.99,0,0.025872755,int_rate2_score;per_paid_score;purpose_score;emp_length_score;grade_score,0,0,8,3,3,-1,0,0,5,3,0,0,5,1.279658758,551,0.025872755
23012697,25355659,15000, 60 months,17.57%,D,10+ years,MORTGAGE,115000,not verified,Current,credit_card,Credit card refinancing,17.12,0,2,12758.56,52602LCB4,0.850570667,17.57,0,0.020894831,int_rate2_score;per_paid_score;grade_score;inq_last_6mths_score;annual_inc_score,0,0,17,1,-2,-2,0,0,-1,3,0,1,4,1.226339643,545,0.020894831
46787292,49935189,16775, 60 months,18.25%,E,4 years,RENT,56000,VERIFIED - income source,Current,debt_consolidation,Debt consolidation,31.23,0,0,16066.48,52602LCB4,0.957763338,18.25,0,0.025567797,int_rate2_score;emp_length_score;home_ownership_score;dti_score;grade_score,0,0,19,0,4,3,0,0,0,3,0,0,-7,1.546254332,549,0.025567797
7371663,9033593,10000, 36 months,19.52%,D,2 years,OWN,60000,not verified,Charged Off,other,help911,9.62,0,0,0,52602LCB4,0,19.52,1,0.659262517,per_paid_score;int_rate2_score;grade_score;loan_amnt_score;term_score,1,0,24,1,-1,-1,0,0,-2,3,0,0,84,5.865102639,631,0.659262517
42283504,45250226,16000, 36 months,15.61%,D,10+ years,MORTGAGE,135000,VERIFIED - income,Current,credit_card,Credit card refinancing,15.95,1,3,13822.41,52602LCB4,0.863900625,15.61,0,0.014429961,int_rate2_score;per_paid_score;inq_last_6mths_score;grade_score;annual_inc_score,0,0,10,1,-2,-2,1,0,-1,3,0,2,2,0.853105838,537,0.014429961
22271793,24594718,12800, 36 months,18.99%,E,2 years,RENT,58000,VERIFIED - income source,Charged Off,moving,Moving and relocation,12.31,2,2,0,52602LCB4,0,18.99,1,0.750704861,per_paid_score;int_rate2_score;home_ownership_score;purpose_score;inq_last_6mths_score,0,0,22,0,-1,3,0,0,3,3,0,1,84,6.025059984,637,0.750704861
19968011,22190679,7000, 36 months,14.49%,C,10+ years,RENT,103000,VERIFIED - income,Current,debt_consolidation,Debt consolidation,3.81,0,0,4630.04,52602LCB4,0.661434286,14.49,0,0.036222353,per_paid_score;int_rate2_score;home_ownership_score;grade_score;loan_amnt_score,1,0,6,3,-2,3,0,0,0,3,0,0,21,1.812849907,555,0.036222353
17322760,19445302,9175, 36 months,15.61%,D,7 years,RENT,27500,not verified,Current,credit_card,Credit card refinancing,19.69,0,0,5617.26,52602LCB4,0.612235422,15.61,0,0.056669127,per_paid_score;int_rate2_score;home_ownership_score;grade_score;loan_amnt_score,1,0,10,1,-2,3,0,0,-1,3,0,0,26,2.186083711,565,0.056669127
15850727,17943227,25000, 60 months,17.57%,D,7 years,MORTGAGE,75000,VERIFIED - income,Current,debt_consolidation,Debt consolidation,12.85,0,1,20297.34,52602LCB4,0.8118936,17.57,0,0.02206027,int_rate2_score;per_paid_score;grade_score;inq_last_6mths_score;verification_status_score,-1,0,17,1,-2,-2,0,0,0,3,0,0,7,1.332977873,546,0.02206027
21199961,23502861,29325, 60 months,25.99%,G,10+ years,OWN,226000,VERIFIED - income,Charged Off,home_improvement,Home improvement,1.67,1,0,0,52602LCB4,0,25.99,1,0.791208007,per_paid_score;int_rate2_score;purpose_score;annual_inc_score;verification_status_score,-1,0,47,-10,-2,-1,1,0,1,3,0,0,84,7.091442282,642,0.791208007
12468964,14481087,6000, 36 months,15.31%,C,10+ years,RENT,50000,VERIFIED - income source,Charged Off,debt_consolidation,Debt consolidation,33.58,2,3,0,52602LCB4,0,15.31,1,0.666626434,per_paid_score;int_rate2_score;dti_score;home_ownership_score;grade_score,1,0,9,3,-2,3,0,0,0,3,0,2,84,5.43854972,630,0.666626434
1419492,1669644,28000, 60 months,11.14%,B,2 years,MORTGAGE,165000,VERIFIED - income,Current,debt_consolidation,Miscellaneous Balance Consolidation,25.5,0,0,15931.18,52602LCB4,0.568970714,11.14,0,0.026299962,per_paid_score;dti_score;annual_inc_score;grade_score;verification_status_score,-1,0,-6,1,-1,-2,1,0,0,3,0,0,30,1.759530792,550,0.026299962
34874758,37558099,11600, 36 months,18.54%,E,3 years,MORTGAGE,65000,VERIFIED - income,Current,debt_consolidation,Debt consolidation,28.43,0,1,8990.68,52602LCB4,0.775058621,18.54,0,0.037782514,int_rate2_score;per_paid_score;dti_score;loan_amnt_score;inq_last_6mths_score,0,0,20,0,-2,-2,0,0,0,3,0,0,11,1.759530792,556,0.037782514
24735885,27178752,15000, 60 months,15.61%,D,5 years,RENT,58000,not verified,Current,credit_card,Credit card refinancing,35.34,0,1,12657.6,52602LCB4,0.84384,15.61,0,0.026181049,int_rate2_score;per_paid_score;dti_score;home_ownership_score;grade_score,0,0,10,1,1,3,0,0,-1,3,0,0,4,1.173020528,549,0.026181049
37127310,39900042,16000, 60 months,9.49%,B,10+ years,MORTGAGE,60000,not verified,Current,debt_consolidation,Debt consolidation,28.7,0,0,14054.42,52602LCB4,0.87840125,9.49,0,0.004102331,dti_score;per_paid_score;grade_score;term_score;verification_status_score,0,0,-12,1,-2,-2,0,0,0,3,0,0,1,0.21327646,515,0.004102331
6541200,8093271,2500, 36 months,20.31%,D,2 years,RENT,46000,not verified,Current,other,Motor,6.94,1,0,929.26,52602LCB4,0.371704,20.31,0,0.305372154,per_paid_score;int_rate2_score;home_ownership_score;loan_amnt_score;grade_score,1,0,27,1,-1,3,0,0,-2,3,0,0,49,4.318848307,602,0.305372154
5617971,7000266,25000, 60 months,19.05%,D,9 years,MORTGAGE,138000,VERIFIED - income source,Current,debt_consolidation,Consolidate my debts,15.38,0,1,16579.73,52602LCB4,0.6631892,19.05,0,0.075630912,int_rate2_score;per_paid_score;emp_length_score;grade_score;annual_inc_score,-1,0,22,1,2,-2,1,0,0,3,0,0,21,2.5059984,570,0.075630912
39239931,42043677,16000, 60 months,15.59%,D,10+ years,MORTGAGE,69997.6,not verified,Current,debt_consolidation,Debt consolidation,20.44,0,0,14511.6,90131LCB5,0.906975,15.59,0,0.010376465,int_rate2_score;grade_score;dti_score;term_score;verification_status_score,0,0,10,1,-2,-2,0,0,0,3,0,0,-2,0.586510264,532,0.010376465
